;cbo;ano;qtde
0;Bombeiros Militares;2016;2
1;Bombeiros Militares;2017;1
2;Bombeiros Militares;2018;4
3;Comunicadores, Artistas e Religiosos;2016;621
4;Comunicadores, Artistas e Religiosos;2017;592
5;Comunicadores, Artistas e Religiosos;2018;619
6;Diretores e Gerentes em Empresa de Serviços D;2016;185
7;Diretores e Gerentes em Empresa de Serviços D;2017;172
8;Diretores e Gerentes em Empresa de Serviços D;2018;230
9;Dirigentes de Empresas e Organizações (Exceto;2016;183
10;Dirigentes de Empresas e Organizações (Exceto;2017;153
11;Dirigentes de Empresas e Organizações (Exceto;2018;150
12;Escriturários;2016;44837
13;Escriturários;2017;40493
14;Escriturários;2018;41988
15;Gerentes;2016;5493
16;Gerentes;2017;4828
17;Gerentes;2018;4855
18;Joalheiros, Vidreiros, Ceramistas e Afins;2016;1286
19;Joalheiros, Vidreiros, Ceramistas e Afins;2017;1148
20;Joalheiros, Vidreiros, Ceramistas e Afins;2018;1203
21;Membros Superiores e Dirigentes do Poder Públ;2016;224
22;Membros Superiores e Dirigentes do Poder Públ;2017;230
23;Membros Superiores e Dirigentes do Poder Públ;2018;273
24;Membros das Forças Armadas;2016;2
25;Membros das Forças Armadas;2017;2
26;Membros das Forças Armadas;2018;1
27;Montadores de Aparelhos e Instrumentos de Pre;2016;119
28;Montadores de Aparelhos e Instrumentos de Pre;2017;82
29;Montadores de Aparelhos e Instrumentos de Pre;2018;89
30;Operadores de Produção, Captação, Tratamento;2016;6741
31;Operadores de Produção, Captação, Tratamento;2017;6596
32;Operadores de Produção, Captação, Tratamento;2018;6472
33;Outros Trabalhadores da Conservação, Manutenç;2016;3895
34;Outros Trabalhadores da Conservação, Manutenç;2017;3664
35;Outros Trabalhadores da Conservação, Manutenç;2018;3834
36;Outros Técnicos de Nível Médio;2016;3167
37;Outros Técnicos de Nível Médio;2017;3002
38;Outros Técnicos de Nível Médio;2018;3350
39;Pescadores e Extrativistas Florestais;2016;1656
40;Pescadores e Extrativistas Florestais;2017;1627
41;Pescadores e Extrativistas Florestais;2018;1582
42;Pesquisadores e Profissionais Policientíficos;2016;103
43;Pesquisadores e Profissionais Policientíficos;2017;83
44;Pesquisadores e Profissionais Policientíficos;2018;99
45;Policiais Militares;2017;2
46;Policiais Militares;2018;2
47;Polimantenedores;2016;3797
48;Polimantenedores;2017;3376
49;Polimantenedores;2018;3697
50;Produtores na Exploração Agropecuária;2016;180
51;Produtores na Exploração Agropecuária;2017;154
52;Produtores na Exploração Agropecuária;2018;168
53;Professores Leigos e de Nível Médio;2016;2159
54;Professores Leigos e de Nível Médio;2017;2194
55;Professores Leigos e de Nível Médio;2018;2379
56;Profissionais das Ciências Biológicas, da Saú;2016;10478
57;Profissionais das Ciências Biológicas, da Saú;2017;10119
58;Profissionais das Ciências Biológicas, da Saú;2018;10769
59;Profissionais das Ciências Exatas, Físicas e;2016;2424
60;Profissionais das Ciências Exatas, Físicas e;2017;2201
61;Profissionais das Ciências Exatas, Físicas e;2018;2209
62;Profissionais das Ciências Jurídicas;2016;203
63;Profissionais das Ciências Jurídicas;2017;176
64;Profissionais das Ciências Jurídicas;2018;185
65;Profissionais das Ciências Sociais e Humanas;2016;4747
66;Profissionais das Ciências Sociais e Humanas;2017;4217
67;Profissionais das Ciências Sociais e Humanas;2018;4419
68;Profissionais do Ensino;2016;3008
69;Profissionais do Ensino;2017;2917
70;Profissionais do Ensino;2018;3192
71;Profissionais em Gastronomia;2016;166
72;Profissionais em Gastronomia;2017;184
73;Profissionais em Gastronomia;2018;209
74;Trabalhadores da Fabricação de Alimentos, Beb;2016;19421
75;Trabalhadores da Fabricação de Alimentos, Beb;2017;20844
76;Trabalhadores da Fabricação de Alimentos, Beb;2018;22096
77;Trabalhadores da Fabricação e Instalação Elet;2016;5688
78;Trabalhadores da Fabricação e Instalação Elet;2017;5362
79;Trabalhadores da Fabricação e Instalação Elet;2018;5575
80;Trabalhadores da Indústria Extrativa e da Con;2016;31295
81;Trabalhadores da Indústria Extrativa e da Con;2017;25973
82;Trabalhadores da Indústria Extrativa e da Con;2018;26331
83;Trabalhadores da Mecanização Agropecuária e F;2016;3253
84;Trabalhadores da Mecanização Agropecuária e F;2017;3156
85;Trabalhadores da Mecanização Agropecuária e F;2018;3167
86;Trabalhadores da Transformação de Metais e De;2016;29385
87;Trabalhadores da Transformação de Metais e De;2017;26924
88;Trabalhadores da Transformação de Metais e De;2018;27974
89;Trabalhadores das Indústrias de Madeira e do;2016;5221
90;Trabalhadores das Indústrias de Madeira e do;2017;4972
91;Trabalhadores das Indústrias de Madeira e do;2018;5113
92;Trabalhadores de Atendimento ao Público;2016;15230
93;Trabalhadores de Atendimento ao Público;2017;14786
94;Trabalhadores de Atendimento ao Público;2018;14654
95;Trabalhadores de Funções Transversais;2016;60666
96;Trabalhadores de Funções Transversais;2017;57954
97;Trabalhadores de Funções Transversais;2018;62607
98;Trabalhadores de Instalações Siderúrgicas e D;2016;4304
99;Trabalhadores de Instalações Siderúrgicas e D;2017;4175
100;Trabalhadores de Instalações Siderúrgicas e D;2018;4441
101;Trabalhadores de Instalações e Máquinas de Fa;2016;1028
102;Trabalhadores de Instalações e Máquinas de Fa;2017;880
103;Trabalhadores de Instalações e Máquinas de Fa;2018;920
104;Trabalhadores dos Serviços;2016;84468
105;Trabalhadores dos Serviços;2017;82564
106;Trabalhadores dos Serviços;2018;87662
107;Trabalhadores em Indústrias de Processos Cont;2016;5791
108;Trabalhadores em Indústrias de Processos Cont;2017;5466
109;Trabalhadores em Indústrias de Processos Cont;2018;5757
110;Trabalhadores em Serviços de Reparação e Manu;2016;14577
111;Trabalhadores em Serviços de Reparação e Manu;2017;13588
112;Trabalhadores em Serviços de Reparação e Manu;2018;14205
113;Trabalhadores na Exploração Agropecuária;2016;15534
114;Trabalhadores na Exploração Agropecuária;2017;15055
115;Trabalhadores na Exploração Agropecuária;2018;15315
116;Trabalhadores nas Indústrias Têxtil, do Curti;2016;9347
117;Trabalhadores nas Indústrias Têxtil, do Curti;2017;8862
118;Trabalhadores nas Indústrias Têxtil, do Curti;2018;9169
119;Técnicos Polivalentes;2016;872
120;Técnicos Polivalentes;2017;828
121;Técnicos Polivalentes;2018;933
122;Técnicos de Nivel Médio nas Ciências Administ;2016;4589
123;Técnicos de Nivel Médio nas Ciências Administ;2017;4310
124;Técnicos de Nivel Médio nas Ciências Administ;2018;4544
125;Técnicos de Nível Médio das Ciências Biológic;2016;38666
126;Técnicos de Nível Médio das Ciências Biológic;2017;37834
127;Técnicos de Nível Médio das Ciências Biológic;2018;40208
128;Técnicos de Nível Médio das Ciências Físicas,;2016;8799
129;Técnicos de Nível Médio das Ciências Físicas,;2017;8314
130;Técnicos de Nível Médio das Ciências Físicas,;2018;8500
131;Técnicos de Nível Médio em Serviços de Transp;2016;1657
132;Técnicos de Nível Médio em Serviços de Transp;2017;1710
133;Técnicos de Nível Médio em Serviços de Transp;2018;1832
134;Técnicos em Nivel Médio dos Serviços Culturai;2016;1259
135;Técnicos em Nivel Médio dos Serviços Culturai;2017;1159
136;Técnicos em Nivel Médio dos Serviços Culturai;2018;1210
137;Vendedores e Prestadores de Serviços do Comér;2016;21295
138;Vendedores e Prestadores de Serviços do Comér;2017;20903
139;Vendedores e Prestadores de Serviços do Comér;2018;23211
