id;ano;cid;qtde
0;2016;A00;1
1;2016;A01;1
2;2016;A02;1
3;2016;A04;12
4;2016;A05;17
5;2016;A06;4
6;2016;A06;1
7;2016;A06;1
8;2016;A07;2
9;2016;A08;2
10;2016;A09;61
11;2016;A09;15
12;2016;A15;2
13;2016;A15;26
14;2016;A16;1
15;2016;A16;10
16;2016;A18;1
17;2016;A20;1
18;2016;A23;3
19;2016;A23;7
20;2016;A26;2
21;2016;A27;7
22;2016;A27;4
23;2016;A28;13
24;2016;A30;4
25;2016;A31;1
26;2016;A31;1
27;2016;A35;4
28;2016;A40;2
29;2016;A40;1
30;2016;A41;2
31;2016;A41;1
32;2016;A42;3
33;2016;A44;1
34;2016;A46;23
35;2016;A46;1
36;2016;A46;4
37;2016;A48;3
38;2016;A48;1
39;2016;A49;24
40;2016;A49;1
41;2016;A49;1
42;2016;A56;3
43;2016;A60;1
44;2016;A64;1
45;2016;A66;1
46;2016;A67;1
47;2016;A68;1
48;2016;A77;1
49;2016;A77;1
50;2016;A77;1
51;2016;A80;2
52;2016;A81;1
53;2016;A82;1
54;2016;A86;1
55;2016;A87;1
56;2016;A90;3
57;2016;A90;2
58;2016;B00;4
59;2016;B01;3
60;2016;B01;2
61;2016;B02;1
62;2016;B07;1
63;2016;B08;1
64;2016;B09;1
65;2016;B15;1
66;2016;B16;1
67;2016;B17;10
68;2016;B17;1
69;2016;B17;1
70;2016;B18;5
71;2016;B18;1
72;2016;B20;9
73;2016;B21;1
74;2016;B22;1
75;2016;B24;2
76;2016;B24;1
77;2016;B26;1
78;2016;B26;2
79;2016;B30;12
80;2016;B30;1
81;2016;B33;4
82;2016;B34;14
83;2016;B34;2
84;2016;B35;1
85;2016;B35;1
86;2016;B36;1
87;2016;B37;1
88;2016;B37;1
89;2016;B39;1
90;2016;B41;2
91;2016;B42;4
92;2016;B42;1
93;2016;B43;3
94;2016;B49;2
95;2016;B50;1
96;2016;B50;29
97;2016;B52;1
98;2016;B53;1
99;2016;B60;1
100;2016;B69;1
101;2016;B76;1
102;2016;B77;1
103;2016;B86;1
104;2016;B86;11
105;2016;B87;12
106;2016;B87;4
107;2016;B91;1
108;2016;B91;1
109;2016;B94;1
