;cnae;ano;qtde
0;0111;2016;418
1;0111;2017;411
2;0111;2018;433
3;0112;2016;105
4;0112;2017;161
5;0112;2018;140
6;0113;2016;1905
7;0113;2017;1634
8;0113;2018;1722
9;0114;2016;19
10;0114;2017;13
11;0114;2018;25
12;0115;2016;1261
13;0115;2017;1273
14;0115;2018;1373
15;0116;2016;15
16;0116;2017;31
17;0116;2018;43
18;0119;2016;340
19;0119;2017;354
20;0119;2018;380
21;0121;2016;184
22;0121;2017;194
23;0121;2018;171
24;0122;2016;76
25;0122;2017;89
26;0122;2018;84
27;0131;2016;791
28;0131;2017;809
29;0131;2018;744
30;0132;2016;570
31;0132;2017;546
32;0132;2018;625
33;0133;2016;720
34;0133;2017;786
35;0133;2018;824
36;0134;2016;481
37;0134;2017;519
38;0134;2018;478
39;0135;2016;35
40;0135;2017;36
41;0135;2018;30
42;0139;2016;565
43;0139;2017;695
44;0139;2018;455
45;0141;2016;1684
46;0141;2017;1858
47;0141;2018;2016
48;0142;2016;61
49;0142;2017;51
50;0142;2018;53
51;0151;2016;1660
52;0151;2017;1570
53;0151;2018;1613
54;0152;2016;38
55;0152;2017;49
56;0152;2018;46
57;0153;2016;11
58;0153;2017;8
59;0153;2018;8
60;0154;2016;247
61;0154;2017;221
62;0154;2018;263
63;0155;2016;1017
64;0155;2017;1005
65;0155;2018;1036
66;0159;2016;21
67;0159;2017;19
68;0159;2018;17
69;0161;2016;1213
70;0161;2017;1116
71;0161;2018;1036
72;0162;2016;261
73;0162;2017;263
74;0162;2018;248
75;0163;2016;96
76;0163;2017;77
77;0163;2018;89
78;0210;2016;852
79;0210;2017;859
80;0210;2018;921
81;0220;2016;78
82;0220;2017;83
83;0220;2018;48
84;0230;2016;586
85;0230;2017;538
86;0230;2018;553
87;0311;2016;41
88;0311;2017;30
89;0311;2018;23
90;0312;2016;2
91;0312;2017;2
92;0312;2018;1
93;0321;2016;62
94;0321;2017;74
95;0321;2018;69
96;0322;2016;69
97;0322;2017;78
98;0322;2018;97
99;0500;2016;167
100;0500;2017;142
101;0500;2018;148
102;0600;2016;556
103;0600;2017;442
104;0600;2018;436
105;0710;2016;586
106;0710;2017;528
107;0710;2018;551
108;0721;2016;17
109;0721;2017;30
110;0721;2018;40
111;0722;2016;29
112;0722;2017;16
113;0722;2018;28
114;0723;2016;2
115;0723;2017;6
116;0723;2018;12
117;0724;2016;251
118;0724;2017;340
119;0724;2018;298
120;0725;2016;29
121;0725;2017;13
122;0725;2018;9
123;0729;2016;211
124;0729;2017;190
125;0729;2018;182
126;0810;2016;1093
127;0810;2017;982
128;0810;2018;1022
129;0891;2016;89
130;0891;2017;84
131;0891;2018;82
132;0892;2016;86
133;0892;2017;74
134;0892;2018;79
135;0893;2016;24
136;0893;2017;35
137;0893;2018;30
138;0899;2016;167
139;0899;2017;127
140;0899;2018;118
141;0910;2016;528
142;0910;2017;369
143;0910;2018;479
144;0990;2016;25
145;0990;2017;37
146;0990;2018;22
147;1011;2016;5534
148;1011;2017;6803
149;1011;2018;7633
150;1012;2016;8399
151;1012;2017;9226
152;1012;2018;10611
153;1013;2016;1707
154;1013;2017;1594
155;1013;2018;2080
156;1020;2016;381
157;1020;2017;343
158;1020;2018;402
159;1031;2016;339
160;1031;2017;391
161;1031;2018;263
162;1032;2016;160
163;1032;2017;154
164;1032;2018;169
165;1033;2016;363
166;1033;2017;357
167;1033;2018;355
168;1041;2016;638
169;1041;2017;572
170;1041;2018;636
171;1042;2016;200
172;1042;2017;191
173;1042;2018;153
174;1043;2016;69
175;1043;2017;77
176;1043;2018;93
177;1051;2016;272
178;1051;2017;244
179;1051;2018;250
180;1052;2016;1710
181;1052;2017;1574
182;1052;2018;1621
183;1053;2016;280
184;1053;2017;202
185;1053;2018;222
186;1061;2016;342
187;1061;2017;339
188;1061;2018;356
189;1062;2016;596
190;1062;2017;574
191;1062;2018;598
192;1063;2016;66
193;1063;2017;81
194;1063;2018;89
195;1064;2016;92
196;1064;2017;64
197;1064;2018;81
198;1065;2016;189
199;1065;2017;192
200;1065;2018;188
201;1066;2016;1202
202;1066;2017;1133
203;1066;2018;1298
204;1069;2016;403
205;1069;2017;356
206;1069;2018;516
207;1071;2016;6599
208;1071;2017;5826
209;1071;2018;5384
210;1072;2016;148
211;1072;2017;130
212;1072;2018;137
213;1081;2016;263
214;1081;2017;166
215;1081;2018;183
216;1082;2016;105
217;1082;2017;95
218;1082;2018;108
219;1091;2016;1936
220;1091;2017;1865
221;1091;2018;1992
222;1092;2016;697
223;1092;2017;587
224;1092;2018;598
225;1093;2016;736
226;1093;2017;630
227;1093;2018;685
228;1094;2016;700
229;1094;2017;596
230;1094;2018;678
231;1095;2016;167
232;1095;2017;154
233;1095;2018;163
234;1096;2016;146
235;1096;2017;137
236;1096;2018;147
237;1099;2016;1471
238;1099;2017;1460
239;1099;2018;1620
240;1111;2016;144
241;1111;2017;153
242;1111;2018;131
243;1112;2016;89
244;1112;2017;82
245;1112;2018;91
246;1113;2016;659
247;1113;2017;515
248;1113;2018;628
249;1121;2016;247
250;1121;2017;209
251;1121;2018;246
252;1122;2016;1398
253;1122;2017;1099
254;1122;2018;1050
255;1210;2016;134
256;1210;2017;151
257;1210;2018;181
258;1220;2016;61
259;1220;2017;54
260;1220;2018;52
261;1311;2016;365
262;1311;2017;355
263;1311;2018;349
264;1312;2016;121
265;1312;2017;91
266;1312;2018;111
267;1313;2016;172
268;1313;2017;169
269;1313;2018;167
270;1314;2016;43
271;1314;2017;62
272;1314;2018;56
273;1321;2016;485
274;1321;2017;490
275;1321;2018;503
276;1322;2016;31
277;1322;2017;50
278;1322;2018;72
279;1323;2016;339
280;1323;2017;384
281;1323;2018;370
282;1330;2016;282
283;1330;2017;264
284;1330;2018;282
285;1340;2016;575
286;1340;2017;665
287;1340;2018;625
288;1351;2016;517
289;1351;2017;483
290;1351;2018;573
291;1352;2016;78
292;1352;2017;69
293;1352;2018;89
294;1353;2016;97
295;1353;2017;45
296;1353;2018;72
297;1354;2016;322
298;1354;2017;263
299;1354;2018;296
300;1359;2016;614
301;1359;2017;623
302;1359;2018;724
303;1411;2016;483
304;1411;2017;446
305;1411;2018;351
306;1412;2016;2484
307;1412;2017;2278
308;1412;2018;2370
309;1413;2016;107
310;1413;2017;128
311;1413;2018;131
312;1414;2016;96
313;1414;2017;89
314;1414;2018;79
315;1421;2016;121
316;1421;2017;125
317;1421;2018;135
318;1422;2016;127
319;1422;2017;104
320;1422;2018;85
321;1510;2016;754
322;1510;2017;648
323;1510;2018;674
324;1521;2016;82
325;1521;2017;70
326;1521;2018;75
327;1529;2016;133
328;1529;2017;57
329;1529;2018;59
330;1531;2016;1226
331;1531;2017;988
332;1531;2018;934
333;1532;2016;113
334;1532;2017;90
335;1532;2018;95
336;1533;2016;592
337;1533;2017;690
338;1533;2018;711
339;1539;2016;328
340;1539;2017;430
341;1539;2018;547
342;1540;2016;209
343;1540;2017;221
344;1540;2018;240
345;1610;2016;1780
346;1610;2017;1558
347;1610;2018;1695
348;1621;2016;634
349;1621;2017;597
350;1621;2018;702
351;1622;2016;489
352;1622;2017;463
353;1622;2018;512
354;1623;2016;435
355;1623;2017;505
356;1623;2018;553
357;1629;2016;510
358;1629;2017;519
359;1629;2018;547
360;1710;2016;595
361;1710;2017;552
362;1710;2018;526
363;1721;2016;1056
364;1721;2017;964
365;1721;2018;1004
366;1722;2016;64
367;1722;2017;44
368;1722;2018;73
369;1731;2016;409
370;1731;2017;360
371;1731;2018;378
372;1732;2016;119
373;1732;2017;85
374;1732;2018;116
375;1733;2016;728
376;1733;2017;752
377;1733;2018;750
378;1741;2016;279
379;1741;2017;255
380;1741;2018;267
381;1742;2016;470
382;1742;2017;371
383;1742;2018;381
384;1749;2016;294
385;1749;2017;245
386;1749;2018;275
387;1811;2016;293
388;1811;2017;254
389;1811;2018;247
390;1812;2016;275
391;1812;2017;230
392;1812;2018;175
393;1813;2016;467
394;1813;2017;437
395;1813;2018;515
396;1821;2016;123
397;1821;2017;117
398;1821;2018;110
399;1822;2016;81
400;1822;2017;79
401;1822;2018;64
402;1830;2016;18
403;1830;2017;13
404;1830;2018;11
405;1910;2016;24
406;1910;2017;16
407;1910;2018;26
408;1921;2016;788
409;1921;2017;515
410;1921;2018;467
411;1922;2016;111
412;1922;2017;104
413;1922;2018;95
414;1931;2016;3417
415;1931;2017;2942
416;1931;2018;2689
417;1932;2016;57
418;1932;2017;75
419;1932;2018;90
420;2011;2016;26
421;2011;2017;26
422;2011;2018;29
423;2012;2016;48
424;2012;2017;53
425;2012;2018;60
426;2013;2016;793
427;2013;2017;755
428;2013;2018;855
429;2014;2016;59
430;2014;2017;24
431;2014;2018;42
432;2019;2016;177
433;2019;2017;203
434;2019;2018;181
435;2021;2016;57
436;2021;2017;79
437;2021;2018;67
438;2022;2016;54
439;2022;2017;47
440;2022;2018;44
441;2029;2016;318
442;2029;2017;328
443;2029;2018;267
444;2031;2016;107
445;2031;2017;121
446;2031;2018;166
447;2032;2016;56
448;2032;2017;61
449;2032;2018;42
450;2033;2016;35
451;2033;2017;34
452;2033;2018;35
453;2040;2016;135
454;2040;2017;137
455;2040;2018;129
456;2051;2016;88
457;2051;2017;86
458;2051;2018;84
459;2052;2016;45
460;2052;2017;34
461;2052;2018;31
462;2061;2016;301
463;2061;2017;255
464;2061;2018;285
465;2062;2016;427
466;2062;2017;374
467;2062;2018;375
468;2063;2016;750
469;2063;2017;755
470;2063;2018;708
471;2071;2016;397
472;2071;2017;378
473;2071;2018;409
474;2072;2016;24
475;2072;2017;33
476;2072;2018;22
477;2073;2016;56
478;2073;2017;52
479;2073;2018;57
480;2091;2016;105
481;2091;2017;113
482;2091;2018;115
483;2092;2016;150
484;2092;2017;108
485;2092;2018;95
486;2093;2016;163
487;2093;2017;183
488;2093;2018;170
489;2094;2016;10
490;2094;2017;8
491;2094;2018;12
492;2099;2016;703
493;2099;2017;591
494;2099;2018;592
495;2110;2016;110
496;2110;2017;90
497;2110;2018;85
498;2121;2016;1287
499;2121;2017;1114
500;2121;2018;1121
501;2122;2016;142
502;2122;2017;121
503;2122;2018;150
504;2123;2016;11
505;2123;2017;22
506;2123;2018;23
507;2211;2016;648
508;2211;2017;662
509;2211;2018;598
510;2212;2016;287
511;2212;2017;278
512;2212;2018;311
513;2219;2016;823
514;2219;2017;769
515;2219;2018;836
516;2221;2016;439
517;2221;2017;426
518;2221;2018;381
519;2222;2016;2747
520;2222;2017;2660
521;2222;2018;2891
522;2223;2016;397
523;2223;2017;346
524;2223;2018;334
525;2229;2016;3267
526;2229;2017;3229
527;2229;2018;3376
528;2311;2016;697
529;2311;2017;581
530;2311;2018;684
531;2312;2016;187
532;2312;2017;109
533;2312;2018;91
534;2319;2016;353
535;2319;2017;353
536;2319;2018;371
537;2320;2016;558
538;2320;2017;358
539;2320;2018;309
540;2330;2016;1903
541;2330;2017;1660
542;2330;2018;1782
543;2341;2016;84
544;2341;2017;86
545;2341;2018;114
546;2342;2016;1908
547;2342;2017;1660
548;2342;2018;1652
549;2349;2016;273
550;2349;2017;266
551;2349;2018;278
552;2391;2016;852
553;2391;2017;763
554;2391;2018;755
555;2392;2016;150
556;2392;2017;165
557;2392;2018;174
558;2399;2016;425
559;2399;2017;413
560;2399;2018;482
561;2411;2016;309
562;2411;2017;290
563;2411;2018;301
564;2412;2016;195
565;2412;2017;191
566;2412;2018;235
567;2421;2016;75
568;2421;2017;77
569;2421;2018;76
570;2422;2016;439
571;2422;2017;359
572;2422;2018;359
573;2423;2016;577
574;2423;2017;517
575;2423;2018;627
576;2424;2016;354
577;2424;2017;319
578;2424;2018;342
579;2431;2016;229
580;2431;2017;239
581;2431;2018;247
582;2439;2016;46
583;2439;2017;47
584;2439;2018;49
585;2441;2016;431
586;2441;2017;399
587;2441;2018;394
588;2442;2016;14
589;2442;2017;13
590;2442;2018;6
591;2443;2016;174
592;2443;2017;147
593;2443;2018;153
594;2449;2016;190
595;2449;2017;176
596;2449;2018;138
597;2451;2016;2330
598;2451;2017;2587
599;2451;2018;2637
600;2452;2016;325
601;2452;2017;333
602;2452;2018;348
603;2511;2016;1337
604;2511;2017;1157
605;2511;2018;1196
