;cnae;total
0;8610;156633
1;4711;58120
2;8411;39506
3;5310;35470
4;4930;34098
5;5611;28532
6;1012;28236
7;4120;24870
8;1011;19970
9;3811;19076
10;1071;17809
11;4744;14637
12;4921;13064
13;8630;13058
14;8640;12908
15;5620;11894
16;6422;11391
17;4530;10709
18;2949;10527
19;8112;10486
20;4221;10293
21;8121;9932
22;2229;9872
23;4110;9286
24;1931;9048
25;9430;8863
26;3101;8769
27;3600;8340
28;2222;8298
29;8220;8105
30;8011;7859
31;4211;7838
32;5510;7641
33;2451;7554
34;4635;7318
35;1412;7132
36;8690;7108
37;4771;7081
38;8660;6713
39;4789;6574
40;4781;6515
41;2833;6177
42;7112;6146
43;8299;6104
44;2599;6006
45;4731;5797
46;1091;5793
47;0141;5558
48;8599;5399
49;1013;5381
50;8800;5352
51;2330;5345
52;0113;5261
53;2342;5220
54;4511;5185
55;2930;5116
56;8532;5063
57;1610;5033
58;4321;5033
59;2910;4962
60;1052;4905
61;4520;4850
62;0151;4843
63;8211;4786
64;7820;4625
65;4712;4614
66;4639;4583
67;1099;4551
68;5211;4421
69;4399;4329
70;6550;4318
71;8513;4290
72;8531;4185
73;3514;4169
74;4912;3994
75;4753;3928
76;8012;3920
77;0115;3907
78;4721;3850
79;8129;3821
80;2511;3690
81;1066;3633
82;1122;3547
83;2121;3522
84;9499;3449
85;0161;3365
86;6920;3309
87;4299;3220
88;1531;3148
89;4691;3144
90;8111;3131
91;0810;3097
92;0155;3058
93;1721;3024
94;4754;3008
95;4713;2998
96;4722;2969
97;2539;2918
98;3314;2747
99;2512;2677
100;2829;2666
101;5231;2660
102;4729;2650
103;0210;2632
104;4330;2593
105;4292;2592
106;2941;2511
107;8511;2496
108;5320;2488
109;4687;2488
110;2219;2428
111;6110;2410
112;2013;2403
113;2391;2370
114;4782;2351
115;0131;2344
116;9312;2336
117;0133;2330
118;4922;2311
119;2869;2247
120;1733;2230
121;2063;2213
122;3821;2192
123;3250;2186
124;8520;2164
125;7830;2153
126;4682;2144
127;3011;2092
128;5111;2090
129;1510;2076
130;3511;2056
131;1093;2051
132;4693;2022
133;1533;1993
134;4313;1989
135;9491;1983
136;5240;1977
137;1094;1974
138;6190;1966
139;2311;1962
140;1359;1961
141;1621;1933
