;uf;qtde
0;São Paulo;7149229
1;Minas Gerais;1895372
2;Rio Grande do Sul;1523704
3;Paraná;1270610
4;Rio de Janeiro;1195747
5;Santa Catarina;1098427
6;Bahia;470861
7;Pernambuco;384103
8;Goiás;368848
9;Espírito Santo;315510
10;Pará;246971
11;Ceará;222168
12;Mato Grosso;221765
13;Mato Grosso do Sul;200837
14;Distrito Federal;172071
15;Amazonas;163870
16;Alagoas;140840
17;Rio Grande do Norte;124792
18;Maranhão;97365
19;Paraíba;85905
20;Rondônia;84313
21;Sergipe;73676
22;Piauí;53824
23;Tocantins;31708
24;Acre;15976
25;Amapá;11989
26;Roraima;9026
