;idade;ano;qtde
0;20 a 24 Anos;2016;67227
1;20 a 24 Anos;2017;63412
2;20 a 24 Anos;2018;67976
3;25 a 29 Anos;2016;80415
4;25 a 29 Anos;2017;73725
5;25 a 29 Anos;2018;76255
6;30 a 34 Anos;2016;81946
7;30 a 34 Anos;2017;75967
8;30 a 34 Anos;2018;79589
9;35 a 39 Anos;2016;72787
10;35 a 39 Anos;2017;71103
11;35 a 39 Anos;2018;74709
12;40 a 44 Anos;2016;54776
13;40 a 44 Anos;2017;53614
14;40 a 44 Anos;2018;57092
15;45 a 49 Anos;2016;43492
16;45 a 49 Anos;2017;41729
17;45 a 49 Anos;2018;43626
18;50 a 54 Anos;2016;33289
19;50 a 54 Anos;2017;32457
20;50 a 54 Anos;2018;33495
21;55 a 59 Anos;2016;19995
22;55 a 59 Anos;2017;19602
23;55 a 59 Anos;2018;20592
24;60 a 64 Anos;2016;8855
25;60 a 64 Anos;2017;8746
26;60 a 64 Anos;2018;9230
27;65 a 69 Anos;2016;2444
28;65 a 69 Anos;2017;2392
29;65 a 69 Anos;2018;2626
30;70 Anos e Mais;2016;735
31;70 Anos e Mais;2017;802
32;70 Anos e Mais;2018;857
33;Até 19 Anos;2016;12071
34;Até 19 Anos;2017;10285
35;Até 19 Anos;2018;11366
