uf;ano;qtde
Acre;1988;147
Acre;1989;162
Acre;1990;98
Acre;1991;117
Acre;1992;70
Acre;1993;30
Acre;1994;0
Acre;1995;111
Acre;1996;123
Acre;1997;202
Acre;1998;207
Acre;1999;193
Acre;2000;235
Acre;2001;224
Acre;2002;308
Acre;2003;305
Acre;2004;366
Acre;2005;422
Acre;2006;444
Acre;2007;652
Acre;2008;821
Acre;2009;1100
Acre;2010;1114
Acre;2011;1171
Acre;2012;1148
Acre;2013;1179
Acre;2014;1195
Acre;2015;1015
Acre;2016;973
Acre;2017;982
Acre;2018;1142
Acre;2019;464
Acre;2020;234
Alagoas;1988;3211
Alagoas;1989;2859
Alagoas;1990;2847
Alagoas;1991;2235
Alagoas;1992;1883
Alagoas;1993;1158
Alagoas;1994;1217
Alagoas;1995;2282
Alagoas;1996;2747
Alagoas;1997;3409
Alagoas;1998;3264
Alagoas;1999;2705
Alagoas;2000;3074
Alagoas;2001;2600
Alagoas;2002;3040
Alagoas;2003;3469
Alagoas;2004;4646
Alagoas;2005;4685
Alagoas;2006;6189
Alagoas;2007;7627
Alagoas;2008;8580
Alagoas;2009;9065
Alagoas;2010;9308
Alagoas;2011;9813
Alagoas;2012;8624
Alagoas;2013;6587
Alagoas;2014;5902
Alagoas;2015;4974
Alagoas;2016;4534
Alagoas;2017;4175
Alagoas;2018;5639
Alagoas;2019;2501
Alagoas;2020;1418
Amapá;1994;0
Amapá;1995;185
Amapá;1996;110
Amapá;1997;183
Amapá;1998;199
Amapá;1999;236
Amapá;2000;217
Amapá;2001;308
Amapá;2002;293
Amapá;2003;235
Amapá;2004;326
Amapá;2005;393
Amapá;2006;494
Amapá;2007;736
Amapá;2008;642
Amapá;2009;738
Amapá;2010;673
Amapá;2011;830
Amapá;2012;951
Amapá;2013;1057
Amapá;2014;796
Amapá;2015;612
Amapá;2016;661
Amapá;2017;523
Amapá;2018;833
Amapá;2019;412
Amapá;2020;245
Amazonas;1988;5717
Amazonas;1989;5029
Amazonas;1990;5086
Amazonas;1991;3579
Amazonas;1992;1222
Amazonas;1993;1597
Amazonas;1994;1349
Amazonas;1995;1842
Amazonas;1996;1988
Amazonas;1997;2156
Amazonas;1998;2426
Amazonas;1999;2331
Amazonas;2000;2481
Amazonas;2001;2537
Amazonas;2002;3086
Amazonas;2003;3532
Amazonas;2004;4328
Amazonas;2005;5351
Amazonas;2006;6347
Amazonas;2007;8536
Amazonas;2008;9484
Amazonas;2009;8849
Amazonas;2010;8591
Amazonas;2011;9754
Amazonas;2012;9186
Amazonas;2013;8750
Amazonas;2014;8923
Amazonas;2015;8495
Amazonas;2016;7293
Amazonas;2017;6974
Amazonas;2018;9326
Amazonas;2019;4587
Amazonas;2020;2657
Bahia;1988;19285
Bahia;1989;9955
Bahia;1990;13379
Bahia;1991;11451
Bahia;1992;9341
Bahia;1993;7059
Bahia;1994;6290
Bahia;1995;6112
Bahia;1996;7548
Bahia;1997;10321
Bahia;1998;8829
Bahia;1999;7586
Bahia;2000;10047
Bahia;2001;8933
Bahia;2002;12083
Bahia;2003;12993
Bahia;2004;15209
Bahia;2005;16269
Bahia;2006;16802
Bahia;2007;23479
Bahia;2008;26142
Bahia;2009;26483
Bahia;2010;24567
Bahia;2011;24269
Bahia;2012;23443
Bahia;2013;22000
Bahia;2014;21724
Bahia;2015;18267
Bahia;2016;17132
Bahia;2017;16926
Bahia;2018;22507
Bahia;2019;11078
Bahia;2020;7276
Ceará;1988;6822
Ceará;1989;6632
Ceará;1990;5670
Ceará;1991;4944
Ceará;1992;3104
Ceará;1993;2720
Ceará;1994;1249
Ceará;1995;4252
Ceará;1996;2883
Ceará;1997;3193
Ceará;1998;3243
Ceará;1999;3623
Ceará;2000;3589
Ceará;2001;3365
Ceará;2002;3744
Ceará;2003;4128
Ceará;2004;5591
Ceará;2005;5957
Ceará;2006;5965
Ceará;2007;8333
Ceará;2008;10153
Ceará;2009;11936
Ceará;2010;12270
Ceará;2011;12368
Ceará;2012;13138
Ceará;2013;13601
Ceará;2014;13434
Ceará;2015;11885
Ceará;2016;11876
Ceará;2017;11099
Ceará;2018;16356
Ceará;2019;9230
Ceará;2020;4981
Distrito Federal;1988;4683
Distrito Federal;1989;4673
Distrito Federal;1990;3632
Distrito Federal;1991;3244
Distrito Federal;1992;3435
Distrito Federal;1993;3599
Distrito Federal;1994;1297
Distrito Federal;1995;2209
Distrito Federal;1996;2946
Distrito Federal;1997;2891
Distrito Federal;1998;2944
Distrito Federal;1999;3028
Distrito Federal;2000;3420
Distrito Federal;2001;3643
Distrito Federal;2002;4489
Distrito Federal;2003;4407
Distrito Federal;2004;5654
Distrito Federal;2005;6076
Distrito Federal;2006;5877
Distrito Federal;2007;7659
Distrito Federal;2008;9351
Distrito Federal;2009;9344
Distrito Federal;2010;8430
Distrito Federal;2011;8436
Distrito Federal;2012;8678
Distrito Federal;2013;9021
Distrito Federal;2014;8778
Distrito Federal;2015;7494
Distrito Federal;2016;7535
Distrito Federal;2017;7140
Distrito Federal;2018;11194
Distrito Federal;2019;6279
Distrito Federal;2020;3367
Espírito Santo;1988;12542
Espírito Santo;1989;9532
Espírito Santo;1990;6773
Espírito Santo;1991;7383
Espírito Santo;1992;6705
Espírito Santo;1993;5701
Espírito Santo;1994;5583
Espírito Santo;1995;6464
Espírito Santo;1996;6375
Espírito Santo;1997;6200
Espírito Santo;1998;5925
Espírito Santo;1999;5825
Espírito Santo;2000;6481
Espírito Santo;2001;7446
Espírito Santo;2002;8553
Espírito Santo;2003;8456
Espírito Santo;2004;9700
Espírito Santo;2005;11107
Espírito Santo;2006;11970
Espírito Santo;2007;15868
Espírito Santo;2008;17427
Espírito Santo;2009;15121
Espírito Santo;2010;13730
Espírito Santo;2011;13809
Espírito Santo;2012;13423
Espírito Santo;2013;13776
Espírito Santo;2014;14821
Espírito Santo;2015;13336
Espírito Santo;2016;11844
Espírito Santo;2017;11535
Espírito Santo;2018;17820
Espírito Santo;2019;11355
Espírito Santo;2020;6991
Goiás;1988;18629
Goiás;1989;16037
Goiás;1990;13789
Goiás;1991;12487
Goiás;1992;3704
Goiás;1993;3772
Goiás;1994;4450
Goiás;1995;5134
Goiás;1996;5587
Goiás;1997;6113
Goiás;1998;6227
Goiás;1999;6601
Goiás;2000;7107
Goiás;2001;7724
Goiás;2002;8834
Goiás;2003;10110
Goiás;2004;11422
Goiás;2005;12295
Goiás;2006;13179
Goiás;2007;16200
Goiás;2008;17840
Goiás;2009;17123
Goiás;2010;15736
Goiás;2011;15650
Goiás;2012;16084
Goiás;2013;17262
Goiás;2014;17263
Goiás;2015;15663
Goiás;2016;15395
Goiás;2017;15355
Goiás;2018;22934
Goiás;2019;13753
Goiás;2020;8126
Maranhão;1988;6034
Maranhão;1989;5408
Maranhão;1990;4051
Maranhão;1991;2791
Maranhão;1992;1004
Maranhão;1993;414
Maranhão;1994;57
Maranhão;1995;53
Maranhão;1996;648
Maranhão;1997;766
Maranhão;1998;868
Maranhão;1999;902
Maranhão;2000;1026
Maranhão;2001;1101
Maranhão;2002;1395
Maranhão;2003;1797
Maranhão;2004;2064
Maranhão;2005;3044
Maranhão;2006;2683
Maranhão;2007;3958
Maranhão;2008;5810
Maranhão;2009;5957
Maranhão;2010;6136
Maranhão;2011;6402
Maranhão;2012;5358
Maranhão;2013;5195
Maranhão;2014;5552
Maranhão;2015;4765
Maranhão;2016;4472
Maranhão;2017;3993
Maranhão;2018;5071
Maranhão;2019;2774
Maranhão;2020;1663
Mato Grosso;1988;3068
Mato Grosso;1989;2311
Mato Grosso;1990;1815
Mato Grosso;1991;1515
Mato Grosso;1992;810
Mato Grosso;1993;297
Mato Grosso;1994;741
Mato Grosso;1995;840
Mato Grosso;1996;2638
Mato Grosso;1997;3194
Mato Grosso;1998;3531
Mato Grosso;1999;3656
Mato Grosso;2000;4105
Mato Grosso;2001;4252
Mato Grosso;2002;4933
Mato Grosso;2003;5785
Mato Grosso;2004;6881
Mato Grosso;2005;7080
Mato Grosso;2006;7616
Mato Grosso;2007;11589
Mato Grosso;2008;13832
Mato Grosso;2009;14130
Mato Grosso;2010;13454
Mato Grosso;2011;13533
Mato Grosso;2012;13372
Mato Grosso;2013;14015
Mato Grosso;2014;13895
Mato Grosso;2015;12435
Mato Grosso;2016;11944
Mato Grosso;2017;12149
Mato Grosso;2018;17625
Mato Grosso;2019;10505
Mato Grosso;2020;7227
Mato Grosso do Sul;1988;5126
Mato Grosso do Sul;1989;3888
Mato Grosso do Sul;1990;2978
Mato Grosso do Sul;1991;3182
Mato Grosso do Sul;1992;2721
Mato Grosso do Sul;1993;2548
Mato Grosso do Sul;1994;2396
Mato Grosso do Sul;1995;2490
Mato Grosso do Sul;1996;2750
Mato Grosso do Sul;1997;3218
Mato Grosso do Sul;1998;3089
Mato Grosso do Sul;1999;3410
Mato Grosso do Sul;2000;4088
Mato Grosso do Sul;2001;4017
Mato Grosso do Sul;2002;4832
Mato Grosso do Sul;2003;5091
Mato Grosso do Sul;2004;6069
Mato Grosso do Sul;2005;6320
Mato Grosso do Sul;2006;6614
Mato Grosso do Sul;2007;9687
Mato Grosso do Sul;2008;11416
